"shipping_mode","product_name","product_price","num_of_transactions_record","average_late_days"
"same day","cleveland golf women's 588 rtx cb satin chrom",119.99,"2","1.0000"
"same day","top flite women's 2014 xl hybrid",19.99,"6","1.0000"
"same day","taylormade white smoke in-12 putter",99.99,"1","1.0000"
"same day","cleveland golf collegiate my custom wedge 588",209.99,"1","1.0000"
"same day","merrell men's all out flash trail running sho",109.99,"1","1.0000"
"same day","merrell women's siren mid waterproof hiking b",134.99,"1","1.0000"
"same day","toys",11.54,"9","1.0000"
"same day","pelican sunstream 100 kayak",199.99,"376","1.0000"
"same day","total gym 1400",299.99,"1","1.0000"
"same day","titleist pro v1x golf balls",47.99,"4","1.0000"
"same day","pelican maverick 100x kayak",349.99,"1","1.0000"
"same day","o'brien men's neoprene life vest",49.98,"511","1.0000"
"same day","yakima doubledown ace hitch mount 4-bike rack",189,"1","1.0000"
"same day","garmin forerunner 910xt gps watch",399.99,"1","1.0000"
"same day","elevation training mask 2.0",79.99,"2","1.0000"
"same day","fitbit the one wireless activity & sleep trac",99.95,"1","1.0000"
"second class","diamondback boys' insight 24 performance hybr",299.99,"5","3.8000"
"second class","garmin forerunner 910xt gps watch",399.99,"4","3.5000"
"second class","titleist small wheeled travel cover",249.99,"3","3.3333"
"second class","golfbuddy vt3 gps watch",199.99,"5","3.2000"
"second class","nike men's fingertrap max training shoe",124.99,"12","3.1667"
"second class","sole e25 elliptical",999.99,"2","3.0000"
"second class","adidas brazuca 2014 official match ball",159.99,"8","3.0000"
"second class","merrell women's grassbow sport hiking shoe",99.99,"8","3.0000"
"second class","sole e35 elliptical",1999.99,"1","3.0000"
"second class","bowflex selecttech 1090 dumbbells",599.99,"2","3.0000"
"second class","elevation training mask 2.0",79.99,"10","2.9000"
"second class","lija women's button golf dress",108,"8","2.8750"
"second class","taylormade white smoke in-12 putter",99.99,"13","2.8462"
"second class","cleveland golf collegiate my custom wedge 588",209.99,"11","2.8182"
"second class","adidas men's germany black crest away tee",25,"43","2.8140"
"second class","ogio race golf shoes",169.99,"10","2.8000"
"second class","cds of rock",11.29,"24","2.7917"
"second class","bridgestone e6 straight distance nfl tennesse",31.99,"38","2.7895"
"second class","hirzl women's hybrid golf glove",14.99,"47","2.7660"
"second class","glove it women's mod oval 3-zip carry all gol",21.99,"54","2.7593"
"second class","brooks women's ghost 6 running shoe",89.99,"8","2.7500"
"second class","cleveland golf women's 588 rtx cb satin chrom",119.99,"8","2.7500"
"second class","adidas men's f10 messi trx fg soccer cleat",59.99,"51","2.7451"
"second class","insta-bed neverflat air mattress",149.99,"7","2.7143"
"second class","lawn mower",532.58,"70","2.7000"
"second class","glove it imperial golf towel",15.99,"46","2.6957"
"second class","mio alpha heart rate monitor/sport watch",199,"13","2.6923"
"second class","nike women's free 5.0 tr fit prt 4 training s",94.99,"13","2.6923"
"second class","yakima doubledown ace hitch mount 4-bike rack",189,"12","2.6667"
"second class","dell laptop",1500,"57","2.6491"
"second class","tyr boys' team digi jammer",39.99,"40","2.6250"
"second class","bridgestone e6 straight distance nfl san dieg",31.99,"45","2.6222"
"second class","smart watch",327.75,"55","2.6182"
"second class","nike dri-fit crew sock 6 pack",22,"39","2.6154"
"second class","clicgear 8.0 shoe brush",9.99,"50","2.6000"
"second class","under armour women's ignite pip vi slide",31.99,"41","2.5854"
"second class","glove it women's imperial golf glove",19.99,"41","2.5854"
"second class","garmin approach s3 golf gps watch",249.99,"12","2.5833"
"second class","fitbit the one wireless activity & sleep trac",99.95,"7","2.5714"
"second class","dvds",164.38,"65","2.5692"
"second class","columbia men's pfg anchor tough t-shirt",30,"46","2.5652"
"second class","sports books",31.08,"48","2.5625"
"second class","web camera",452.04,"89","2.5618"
"second class","team golf st. louis cardinals putter grip",24.99,"52","2.5577"
"second class","team golf new england patriots putter grip",24.99,"47","2.5532"
"second class","top flite women's 2014 xl hybrid",19.99,"49","2.5510"
"second class","industrial consumer electronics",252.88,"83","2.5422"
"second class","nike men's free tr 5.0 tb training shoe",99.99,"13","2.5385"
"second class","under armour girls' toddler spine surge runni",39.99,"1618","2.5358"
"second class","nike men's dri-fit victory golf polo",50,"3050","2.5266"
"second class","glove it urban brick golf towel",15.99,"54","2.5185"
"second class","titleist pro v1x high numbers golf balls",47.99,"29","2.5172"
"second class","summer dresses",215.82,"118","2.5169"
"second class","children's heaters",357.1,"111","2.5045"
"second class","fighting video games",39.75,"135","2.5037"
"second class","perfect fitness perfect rip deck",59.99,"3706","2.5016"
"second class","men's gala suit",210.85,"24","2.5000"
"second class","taylormade 2014 purelite stand bag",179.99,"12","2.5000"
"second class","field & stream sportsman 16 gun fire safe",399.98,"2562","2.4949"
"second class","nike men's cj elite 2 td football cleat",129.99,"3370","2.4935"
"second class","o'brien men's neoprene life vest",49.98,"2870","2.4899"
"second class","porcelain crafts",461.48,"74","2.4865"
"second class","nike men's free 5.0+ running shoe",99.99,"1780","2.4770"
"second class","baby sweater",59.08,"21","2.4762"
"second class","under armour women's ignite slide",31.99,"42","2.4762"
"second class","pelican sunstream 100 kayak",199.99,"2365","2.4732"
"second class","titleist pro v1x high numbers personalized go",51.99,"55","2.4727"
"second class","under armour women's micro g skulpt running s",54.97,"51","2.4706"
"second class","diamondback women's serene classic comfort bi",299.98,"2004","2.4636"
"second class","adidas youth germany black/red away match soc",70,"41","2.4634"
"second class","nike men's comfort 2 slide",44.99,"52","2.4615"
"second class","bag boy beverage holder",24.99,"39","2.4615"
"second class","clicgear rovic cooler bag",39.99,"50","2.4600"
"second class","nike men's deutschland weltmeister winners bl",30,"48","2.4583"
"second class","hirzl women's soffft flex golf glove",17.99,"51","2.4510"
"second class","glove it women's mod oval golf glove",19.99,"38","2.4474"
"second class","titleist pro v1 high numbers personalized gol",51.99,"45","2.4444"
"second class","lija women's mid-length panel golf shorts",100,"16","2.4375"
"second class","team golf san francisco giants putter grip",24.99,"39","2.4359"
"second class","nike kids' grade school kd vi basketball shoe",99.99,"7","2.4286"
"second class","bag boy m330 push cart",79.99,"7","2.4286"
"second class","nike women's tempo shorts",30,"45","2.4222"
"second class","toys",11.54,"74","2.4054"
"second class","adidas kids' f5 messi fg soccer cleat",34.99,"47","2.4043"
"second class","under armour men's compression ev sl slide",44.99,"45","2.4000"
"second class","nike men's kobe ix elite low basketball shoe",199.99,"5","2.4000"
"second class","team golf texas longhorns putter grip",24.99,"41","2.3902"
"second class","lija women's eyelet sleeveless golf polo",65,"55","2.3818"
"second class","team golf pittsburgh steelers putter grip",24.99,"50","2.3800"
"second class","under armour hustle storm medium duffle bag",34.99,"48","2.3750"
"second class","pelican maverick 100x kayak",349.99,"8","2.3750"
"second class","lija women's argyle golf polo",80,"11","2.3636"
"second class","adult dog supplies",84.4,"91","2.3626"
"second class","rock music",260.65,"65","2.3538"
"second class","total gym 1400",299.99,"6","2.3333"
"second class","nike women's legend v-neck t-shirt",25,"30","2.3333"
"second class","eno atlas hammock straps",29.99,"54","2.3333"
"second class","mdgolf pittsburgh penguins putter",79.99,"6","2.3333"
"second class","merrell men's all out flash trail running sho",109.99,"12","2.3333"
"second class","under armour kids' mercenary slide",27.99,"42","2.3095"
"second class","under armour men's tech ii t-shirt",24.99,"49","2.3061"
"second class","team golf tennessee volunteers putter grip",24.99,"54","2.2963"
"second class","polar ft4 heart rate monitor",89.99,"7","2.2857"
"second class","merrell women's siren mid waterproof hiking b",134.99,"7","2.2857"
"second class","stiga master series st3100 competition indoor",329.99,"4","2.2500"
"second class","first aid kit",293.04,"51","2.2353"
"second class","gopro hero3+ black edition camera",399.99,"5","2.2000"
"second class","the north face women's recon backpack",99,"5","2.2000"
"second class","polar loop activity tracker",109.95,"6","2.1667"
"second class","titleist pro v1x golf balls",47.99,"36","2.1667"
"second class","garmin approach s4 golf gps watch",299.99,"6","2.1667"
"second class","hirzl men's hybrid golf glove",14.99,"49","2.1429"
"second class","titleist club glove travel cover",299.99,"8","2.1250"
"second class","merrell women's grassbow sport waterproof hik",129.99,"8","2.1250"
"second class","bridgestone e6 straight distance nfl carolina",31.99,"50","2.1000"
"second class","diamondback girls' clarity 24 hybrid bike 201",299.99,"3","2.0000"
"second class","bushnell pro x7 jolt slope rangefinder",599.99,"2","2.0000"
"second class","taylormade women's rbz sl rescue",129.99,"3","1.6667"
"standard class","nike men's free tr 5.0 tb training shoe",99.99,"16","1.6875"
"standard class","titleist small wheeled travel cover",249.99,"16","1.6875"
"standard class","elevation training mask 2.0",79.99,"18","1.6667"
"standard class","polar loop activity tracker",109.95,"15","1.6667"
"standard class","sole e25 elliptical",999.99,"3","1.6667"
"standard class","cleveland golf women's 588 rtx cb satin chrom",119.99,"17","1.6471"
"standard class","golfbuddy vt3 gps watch",199.99,"16","1.6250"
"standard class","taylormade 2014 purelite stand bag",179.99,"16","1.6250"
"standard class","adidas youth germany black/red away match soc",70,"69","1.6232"
"standard class","glove it women's imperial golf glove",19.99,"72","1.6111"
"standard class","adidas men's f10 messi trx fg soccer cleat",59.99,"58","1.6034"
"standard class","fitbit the one wireless activity & sleep trac",99.95,"15","1.6000"
"standard class","lija women's mid-length panel golf shorts",100,"15","1.6000"
"standard class","glove it women's mod oval 3-zip carry all gol",21.99,"64","1.5938"
"standard class","bridgestone e6 straight distance nfl san dieg",31.99,"71","1.5915"
"standard class","nike men's comfort 2 slide",44.99,"78","1.5897"
"standard class","under armour hustle storm medium duffle bag",34.99,"69","1.5797"
"standard class","glove it imperial golf towel",15.99,"64","1.5781"
"standard class","hirzl women's hybrid golf glove",14.99,"75","1.5733"
"standard class","bridgestone e6 straight distance nfl tennesse",31.99,"70","1.5714"
"standard class","industrial consumer electronics",252.88,"79","1.5696"
"standard class","glove it urban brick golf towel",15.99,"69","1.5652"
"standard class","adidas men's germany black crest away tee",25,"78","1.5641"
"standard class","men's gala suit",210.85,"48","1.5625"
"standard class","titleist pro v1x golf balls",47.99,"70","1.5571"
"standard class","garmin approach s4 golf gps watch",299.99,"9","1.5556"
"standard class","merrell women's grassbow sport hiking shoe",99.99,"18","1.5556"
"standard class","team golf texas longhorns putter grip",24.99,"69","1.5507"
"standard class","team golf san francisco giants putter grip",24.99,"71","1.5493"
"standard class","insta-bed neverflat air mattress",149.99,"11","1.5455"
"standard class","mdgolf pittsburgh penguins putter",79.99,"11","1.5455"
"standard class","hirzl women's soffft flex golf glove",17.99,"79","1.5443"
"standard class","polar ft4 heart rate monitor",89.99,"13","1.5385"
"standard class","taylormade women's rbz sl rescue",129.99,"13","1.5385"
"standard class","summer dresses",215.82,"145","1.5379"
"standard class","taylormade white smoke in-12 putter",99.99,"15","1.5333"
"standard class","nike women's free 5.0 tr fit prt 4 training s",94.99,"17","1.5294"
"standard class","rock music",260.65,"102","1.5294"
"standard class","adult dog supplies",84.4,"95","1.5263"
"standard class","baby sweater",59.08,"40","1.5250"
"standard class","team golf tennessee volunteers putter grip",24.99,"65","1.5231"
"standard class","porcelain crafts",461.48,"113","1.5221"
"standard class","titleist pro v1 high numbers personalized gol",51.99,"75","1.5200"
"standard class","perfect fitness perfect rip deck",59.99,"5584","1.5192"
"standard class","under armour men's tech ii t-shirt",24.99,"72","1.5139"
"standard class","under armour women's ignite slide",31.99,"78","1.5128"
"standard class","under armour kids' mercenary slide",27.99,"47","1.5106"
"standard class","nike men's free 5.0+ running shoe",99.99,"2768","1.5098"
"standard class","nike men's cj elite 2 td football cleat",129.99,"5011","1.5087"
"standard class","nike dri-fit crew sock 6 pack",22,"67","1.5075"
"standard class","bag boy beverage holder",24.99,"67","1.5075"
"standard class","under armour girls' toddler spine surge runni",39.99,"2378","1.5067"
"standard class","o'brien men's neoprene life vest",49.98,"4412","1.5059"
"standard class","web camera",452.04,"103","1.5049"
"standard class","field & stream sportsman 16 gun fire safe",399.98,"3969","1.5047"
"standard class","diamondback women's serene classic comfort bi",299.98,"3185","1.5036"
"standard class","nike men's dri-fit victory golf polo",50,"4728","1.5023"
"standard class","pelican sunstream 100 kayak",199.99,"3455","1.5001"
"standard class","smart watch",327.75,"76","1.5000"
"standard class","nike men's deutschland weltmeister winners bl",30,"58","1.5000"
"standard class","brooks women's ghost 6 running shoe",89.99,"12","1.5000"
"standard class","total gym 1400",299.99,"10","1.5000"
"standard class","nike women's legend v-neck t-shirt",25,"68","1.5000"
"standard class","titleist club glove travel cover",299.99,"8","1.5000"
"standard class","lija women's eyelet sleeveless golf polo",65,"64","1.5000"
"standard class","cleveland golf collegiate my custom wedge 588",209.99,"14","1.5000"
"standard class","adidas kids' f5 messi fg soccer cleat",34.99,"53","1.4906"
"standard class","children's heaters",357.1,"155","1.4903"
"standard class","sports books",31.08,"96","1.4896"
"standard class","toys",11.54,"127","1.4882"
"standard class","fighting video games",39.75,"206","1.4854"
"standard class","clicgear rovic cooler bag",39.99,"64","1.4844"
"standard class","bridgestone e6 straight distance nfl carolina",31.99,"81","1.4815"
"standard class","columbia men's pfg anchor tough t-shirt",30,"71","1.4789"
"standard class","cds of rock",11.29,"67","1.4776"
"standard class","dell laptop",1500,"111","1.4775"
"standard class","team golf new england patriots putter grip",24.99,"63","1.4762"
"standard class","first aid kit",293.04,"84","1.4762"
"standard class","lawn mower",532.58,"112","1.4732"
"standard class","mio alpha heart rate monitor/sport watch",199,"17","1.4706"
"standard class","nike men's fingertrap max training shoe",124.99,"17","1.4706"
"standard class","merrell women's siren mid waterproof hiking b",134.99,"17","1.4706"
"standard class","dvds",164.38,"125","1.4640"
"standard class","clicgear 8.0 shoe brush",9.99,"67","1.4627"
"standard class","top flite women's 2014 xl hybrid",19.99,"74","1.4595"
"standard class","merrell women's grassbow sport waterproof hik",129.99,"11","1.4545"
"standard class","merrell men's all out flash trail running sho",109.99,"20","1.4500"
"standard class","team golf pittsburgh steelers putter grip",24.99,"67","1.4478"
"standard class","titleist pro v1x high numbers golf balls",47.99,"76","1.4474"
"standard class","titleist pro v1x high numbers personalized go",51.99,"63","1.4444"
"standard class","under armour women's micro g skulpt running s",54.97,"61","1.4426"
"standard class","under armour men's compression ev sl slide",44.99,"50","1.4400"
"standard class","glove it women's mod oval golf glove",19.99,"53","1.4340"
"standard class","hirzl men's hybrid golf glove",14.99,"58","1.4310"
"standard class","diamondback boys' insight 24 performance hybr",299.99,"7","1.4286"
"standard class","nike women's tempo shorts",30,"82","1.4268"
"standard class","eno atlas hammock straps",29.99,"78","1.4231"
"standard class","garmin approach s3 golf gps watch",249.99,"24","1.4167"
"standard class","gopro hero3+ black edition camera",399.99,"12","1.4167"
"standard class","ogio race golf shoes",169.99,"12","1.4167"
"standard class","team golf st. louis cardinals putter grip",24.99,"77","1.4156"
"standard class","under armour women's ignite pip vi slide",31.99,"66","1.4091"
"standard class","stiga master series st3100 competition indoor",329.99,"5","1.4000"
"standard class","yakima doubledown ace hitch mount 4-bike rack",189,"15","1.4000"
"standard class","nike kids' grade school kd vi basketball shoe",99.99,"18","1.3889"
"standard class","tyr boys' team digi jammer",39.99,"67","1.3881"
"standard class","pelican maverick 100x kayak",349.99,"8","1.3750"
"standard class","adidas brazuca 2014 official match ball",159.99,"14","1.3571"
"standard class","the north face women's recon backpack",99,"14","1.3571"
"standard class","sole e35 elliptical",1999.99,"3","1.3333"
"standard class","nike men's kobe ix elite low basketball shoe",199.99,"16","1.3125"
"standard class","bag boy m330 push cart",79.99,"16","1.3125"
