market,customer_segment,month,is_fraud
Europe,Consumer,1,0.0
Europe,Consumer,6,0.03984819734345351
Europe,Consumer,7,0.02023429179978701
Europe,Consumer,8,0.02070902070902071
Europe,Consumer,9,0.024141833270463976
Europe,Consumer,10,0.026019080659150044
Europe,Consumer,11,0.033766233766233764
Europe,Consumer,12,0.0
Europe,Corporate,1,0.0
Europe,Corporate,6,0.02346041055718475
Europe,Corporate,7,0.029120198265179677
Europe,Corporate,8,0.02064516129032258
Europe,Corporate,9,0.025048169556840076
Europe,Corporate,10,0.01566951566951567
Europe,Corporate,11,0.005154639175257732
Europe,Corporate,12,0.0
Europe,Home Office,1,0.0364963503649635
Europe,Home Office,6,0.03588516746411483
Europe,Home Office,7,0.03494926719278467
Europe,Home Office,8,0.029801324503311258
Europe,Home Office,9,0.0163098878695209
Europe,Home Office,10,0.0225
Europe,Home Office,11,0.009708737864077669
Europe,Home Office,12,0.17647058823529413
LATAM,Consumer,1,0.026604068857589983
LATAM,Consumer,2,0.02484725050916497
LATAM,Consumer,3,0.01574500768049155
LATAM,Consumer,4,0.023613595706618962
LATAM,Consumer,5,0.030889467807964272
LATAM,Consumer,6,0.024787535410764873
LATAM,Corporate,1,0.00819672131147541
LATAM,Corporate,2,0.03310430980637102
LATAM,Corporate,3,0.025670945157526253
LATAM,Corporate,4,0.02440677966101695
LATAM,Corporate,5,0.02009456264775414
LATAM,Corporate,6,0.02261904761904762
LATAM,Home Office,1,0.005681818181818182
LATAM,Home Office,2,0.018823529411764704
LATAM,Home Office,3,0.008746355685131196
LATAM,Home Office,4,0.020169851380042462
LATAM,Home Office,5,0.042643923240938165
LATAM,Home Office,6,0.011009174311926606
Pacific Asia,Consumer,1,0.03985507246376811
Pacific Asia,Consumer,11,0.02735562310030395
Pacific Asia,Consumer,12,0.023008849557522124
Pacific Asia,Corporate,1,0.022988505747126436
Pacific Asia,Corporate,11,0.023157894736842106
Pacific Asia,Corporate,12,0.024691358024691357
Pacific Asia,Home Office,1,0.014492753623188406
Pacific Asia,Home Office,11,0.016666666666666666
Pacific Asia,Home Office,12,0.018970189701897018
