market,customer_segment,month,is_fraud
Africa,Consumer,8,0.01195219123505976
Africa,Consumer,9,0.014367816091954023
Africa,Consumer,10,0.02745424292845258
Africa,Consumer,11,0.03387096774193549
Africa,Consumer,12,0.029876977152899824
Africa,Corporate,8,0.024691358024691357
Africa,Corporate,9,0.013568521031207599
Africa,Corporate,10,0.006476683937823834
Africa,Corporate,11,0.019471488178025034
Africa,Corporate,12,0.009174311926605505
Africa,Home Office,8,0.0
Africa,Home Office,9,0.010917030567685589
Africa,Home Office,10,0.017114914425427872
Africa,Home Office,11,0.03640256959314775
Africa,Home Office,12,0.023809523809523808
Pacific Asia,Consumer,1,0.02900706582372629
Pacific Asia,Consumer,2,0.01762632197414806
Pacific Asia,Consumer,3,0.026587887740029542
Pacific Asia,Consumer,4,0.0
Pacific Asia,Consumer,8,0.02262443438914027
Pacific Asia,Consumer,9,0.032175032175032175
Pacific Asia,Consumer,10,0.015473887814313346
Pacific Asia,Consumer,11,0.018518518518518517
Pacific Asia,Consumer,12,0.023809523809523808
Pacific Asia,Corporate,1,0.009518143961927425
Pacific Asia,Corporate,2,0.029881862404447533
Pacific Asia,Corporate,3,0.011787819253438114
Pacific Asia,Corporate,4,0.0
Pacific Asia,Corporate,8,0.0
Pacific Asia,Corporate,9,0.0057361376673040155
Pacific Asia,Corporate,10,0.009671179883945842
Pacific Asia,Corporate,11,0.03456221198156682
Pacific Asia,Corporate,12,0.010638297872340425
Pacific Asia,Home Office,1,0.013727560718057022
Pacific Asia,Home Office,2,0.041019955654102
Pacific Asia,Home Office,3,0.02358974358974359
Pacific Asia,Home Office,4,0.06818181818181818
Pacific Asia,Home Office,8,0.0
Pacific Asia,Home Office,9,0.030434782608695653
Pacific Asia,Home Office,10,0.01607717041800643
Pacific Asia,Home Office,11,0.0035842293906810036
Pacific Asia,Home Office,12,0.04578313253012048
USCA,Consumer,4,0.0294811320754717
USCA,Consumer,5,0.024242424242424242
USCA,Consumer,6,0.023062381852551984
USCA,Consumer,7,0.032037437005039596
USCA,Consumer,8,0.01532399299474606
USCA,Consumer,9,0.0
USCA,Consumer,10,0.0392156862745098
USCA,Consumer,11,0.009615384615384616
USCA,Consumer,12,0.04819277108433735
USCA,Corporate,4,0.016574585635359115
USCA,Corporate,5,0.0231105559025609
USCA,Corporate,6,0.022516556291390728
USCA,Corporate,7,0.026595744680851064
USCA,Corporate,8,0.013071895424836602
USCA,Corporate,9,0.05084745762711865
USCA,Corporate,10,0.0
USCA,Corporate,11,0.0
USCA,Corporate,12,0.046875
USCA,Home Office,4,0.0196078431372549
USCA,Home Office,5,0.011160714285714286
USCA,Home Office,6,0.010011123470522803
USCA,Home Office,7,0.04887585532746823
USCA,Home Office,8,0.017948717948717947
USCA,Home Office,9,0.0
USCA,Home Office,10,0.0
USCA,Home Office,11,0.0410958904109589
USCA,Home Office,12,0.0
